untershrank,Kurzbezeichnung,Breite,Bestell_Nr,eins,zwei,drei,vier,fünf,siz,sieben,acht,neun,zhen,comment
"1 durchgehende Tür, 1 Einlegeboden",UD,20,31001,213,234,248,260,264,266,267,289,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",UD,30,31003,245,260,276,301,310,314,327,336,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",UD,40,31004,277,291,317,339,346,368,384,403,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",UD,45,31065,291,310,329,368,372,391,409,432,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",UD,50,31010,308,321,342,385,391,422,441,461,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",UD,60,31030,336,349,380,429,438,475,496,524,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 durchgehende Tür, 1 Einlegeboden ",U,20,001,241,261,272,282,—,299,308,311,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",U,30,003,273,288,301,326,—,339,362,377,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",U,40,004,304,321,336,372,—,385,415,437,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",U,45,065,323,331,353,388,—,406,444,458,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",U,50,010,334,346,375,409,—,437,470,485,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",U,60,030,368,381,402,454,—,491,526,546,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 verstiftete Tür, 1 Einle geboden ",UD,80,31063,463,495,539,599,609,644,680,721,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",UD,90,31076,498,521,568,644,651,698,736,780,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",UD,100,31070,526,555,604,686,696,753,788,842,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",UD,120,31074,590,616,673,769,785,863,898,964,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 durchgehende Türen, 1 Einlegeboden ",U,80,063,517,550,588,648,—,685,740,780,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",U,90,076,556,578,621,692,—,729,794,834,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",U,100,070,580,610,654,736,—,783,854,879,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",U,120,074,642,673,720,822,—,889,968,999,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"2 verstiftete Türen, 1 Einlegeboden ",UB,20,059,235,256,266,276,291,293,299,301,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",UB,30,060,269,280,295,321,330,334,349,369,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",UB,40,067,298,315,331,366,380,383,407,429,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",UB,45,068,318,327,345,384,396,400,438,454,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",UB,50,069,329,337,366,403,422,429,461,477,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",UB,60,073,356,377,396,450,466,485,520,537,860,933,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,"Im Programm Castello 224 haben die Türen in 200 mm Breite nur Außenkantenprofile, keine Füllungen!"
"1 feste Blende, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,
"1 feste Blende, 1 Tür, 1 Einlegeboden",US,30,22006,409,447,457,483,493,498,502,520,860,933,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",US,40,22009,447,480,499,524,539,556,562,581,860,933,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",US,45,22077,460,495,512,549,559,561,594,610,860,933,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",US,50,22012,477,511,534,569,585,591,623,635,860,933,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",US,60,22031,508,546,566,616,631,647,682,698,860,933,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",,,,,,,,,,,,,,
"1 Schubkasten, 1 Tür, 1 Einlegeboden",US,80,22064,807,876,918,969,997,999,1.045,1.085,860,933,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",US,90,22079,844,905,948,1.015,1.040,1.041,1.101,1.143,860,933,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",,,,,,,,,,,,,,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",US,100,22071,875,942,988,1.064,1.092,1.098,1.165,1.188,860,933,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",US,120,22075,937,1.009,1.059,1.153,1.187,1.210,1.282,1.317,860,933,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",,,,,,,,,,,,,,
"2 Schubkästen, 2 Türen, 1 Einlegeboden",USG,80,23408,729,799,840,892,921,923,968,1.006,860,933,
"1 Schubkasten, 2 Türen, 1 Einlegeboden",USG,90,23409,768,829,872,939,961,964,1.023,1.064,860,933,
"1 Schubkasten, 2 Türen, 1 Einlegeboden",,,,,,,,,,,,,,
"1 Schubkasten, 2 Türen, 1 Einlegeboden",USG,100,23410,796,866,911,988,1.013,1.021,1.089,1.111,860,933,
"1 Schubkasten, 2 Türen, 1 Einlegeboden",USG,120,23412,860,933,983,1.076,1.110,1.133,1.206,1.240,860,933,
